n,thresholdModel,thresholdClass,Accuracy,logloss
26,0.15,0.5,0.765957446808511,0.429852627464147
26,0.2,0.5,0.74468085106383,0.429633262379846
26,0.25,0.5,0.74468085106383,0.429003846298897
26,0.3,0.5,0.74468085106383,0.429003846298897
26,0.35,0.5,0.74468085106383,0.429003846298897
26,0.4,0.5,0.765957446808511,0.425517730036008
26,0.45,0.5,0.765957446808511,0.425517730036008
26,0.5,0.5,0.808510638297872,0.436298993231063
26,0.55,0.5,0.808510638297872,0.439051259402336
26,0.6,0.5,0.808510638297872,0.439051259402336
26,0.65,0.5,0.808510638297872,0.439051259402336
26,0.7,0.5,0.808510638297872,0.439051259402336
26,0.75,0.5,0.808510638297872,0.439051259402336
26,0.8,0.5,0.787234042553192,0.457288079054995
26,0.85,0.5,0.787234042553192,0.457288079054995
26,0.9,0.5,0.787234042553192,0.457288079054995
26,0.95,0.5,0.787234042553192,0.457288079054995
26,1,0.5,0.787234042553192,0.457288079054995
27,0.05,0.5,0.765957446808511,0.429971177349533
27,0.1,0.5,0.765957446808511,0.429117008928783
27,0.15,0.5,0.765957446808511,0.428450059465926
27,0.2,0.5,0.74468085106383,0.428843138234268
27,0.25,0.5,0.74468085106383,0.428843138234268
27,0.3,0.5,0.74468085106383,0.428540777726547
27,0.35,0.5,0.765957446808511,0.428619631315354
27,0.4,0.5,0.787234042553192,0.425779263854511
27,0.45,0.5,0.808510638297872,0.428380171460876
27,0.5,0.5,0.808510638297872,0.439666503475987
27,0.55,0.5,0.808510638297872,0.439666503475987
27,0.6,0.5,0.808510638297872,0.439666503475987
27,0.65,0.5,0.808510638297872,0.439666503475987
